Identifier-Analyte	Analyte_Name
A097001-101-xxx	M000000_A097001-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-001
A098001-101-xxx	M000000_A098001-101-xxx_NA_186302,31_TRUE_VAR5_FAME_Glycine, N,N-dimethyl- (1TMS)
A098002-101-xxx	M000000_A098002-101-xxx_NA_179631,95_PRED_VAR5_FAME_Propane-1,2-diol (2TMS)
A098003-101-xxx	M000000_A098003-101-xxx_NA_0_FALSE_VAR5_FAME_Boric-acid_3TMS
A098004-101-xxx	M000000_A098004-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-006
A100001-101-xxx	M000000_A100001-101-xxx_NA_0_FALSE_VAR5_FAME_Glyoxylic acid (1MEOX) (1TMS)
A100002-101-xxx	M000000_A100002-101-xxx_NA_0_FALSE_VAR5_FAME_Hydrogen sulfide (2TMS)
A100003-101-xxx	M000000_A100003-101-xxx_NA_187370,38_PRED_VAR5_FAME_Decane, n-
A100004-101-xxx	M000000_A100004-101-xxx_NA_196662_TRUE_VAR5_FAME_Alanine, beta- (1TMS)
A100005-101-xxx	M000000_A100005-101-xxx_NA_0_FALSE_VAR5_FAME_Carbodiimide (2TMS)
A100007-101-xxx	M000000_A100007-101-xxx_NA_194423,12_TRUE_VAR5_FAME_Propargyl Alcohol (1TMS)
A100008-101-xxx	M000000_A100008-101-xxx_NA_0_FALSE_VAR5_FAME_Cyclohexanol_1TMS
A101001-101-xxx	M000000_A101001-101-xxx_NA_204782,67_TRUE_VAR5_FAME_Cyclopropanecarboxylic acid, 1-amino- (1TMS)
A101002-101-xxx	M000000_A101002-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-007
A102001-101-xxx	M000000_A102001-101-xxx_NA_207886,12_TRUE_VAR5_FAME_Butanoic acid, 2-amino- (1TMS)
A102002-101-xxx	M000000_A102002-101-xxx_NA_205766,02_TRUE_VAR5_FAME_Benzene, 1,3-dichloro-
A102003-101-xxx	M000000_A102003-101-xxx_NA_206020,61_TRUE_VAR5_FAME_Pyridine, 3-cyano-
A103002-101-xxx	M000000_A103002-101-xxx_NA_216211,88_TRUE_VAR5_FAME_Isobutanoic acid, 3-amino- (1TMS)
A103003-101-xxx	M000000_A103003-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-008
A104001-101-xxx	M000000_A104001-101-xxx_NA_0_FALSE_VAR5_FAME_Siloxane
A104002-101-xxx	M000000_A104002-101-xxx_NA_215350,48_TRUE_VAR5_FAME_Pyruvic acid (1MEOX) (1TMS)
A104003-101-xxx	M000000_A104003-101-xxx_NA_216543,25_TRUE_VAR5_FAME_Propane-1,3-diol (2TMS)
A104004-101-xxx	M000000_A104004-101-xxx_NA_218762,91_PRED_VAR5_FAME_Phenol (1TMS)
A104005-101-xxx	M000000_A104005-101-xxx_NA_217294,53_PRED_VAR5_FAME_D104497
A105001-101-xxx	M000000_A105001-101-xxx_NA_215807,19_PRED_VAR5_FAME_Lactic acid (2TMS)
A105002-101-xxx	M000000_A105002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A105003-101-xxx	M000000_A105003-101-xxx_NA_211552,53_TRUE_VAR5_FAME_Pyridine, 2-hydroxy- (1TMS)
